Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
Toyota,Prius,2011,Hatchback,195000.0,1800.0,Hybrid,Automatic,7750.0
Renault,Grand Scenic,2014,Universal,135000.0,1500.0,Diesel,Manual,8550.0
Volkswagen,Golf,1998,Hatchback,1.0,1400.0,Petrol,Manual,2200.0
Renault,Laguna,2012,Universal,110000.0,1500.0,Diesel,Manual,6550.0
Opel,Astra,2006,Universal,200000.0,1600.0,Metan/Propan,Manual,4100.0
Mercedes,Vito,2000,Microvan,300000.0,2200.0,Diesel,Manual,3490.0
Volkswagen,Passat,2010,Universal,290000.0,1390.0,Petrol,Manual,5600.0
Volkswagen,Touareg,2010,SUV,220000.0,2400.0,Diesel,Automatic,17000.0
Mercedes,Series (W124),1991,Sedan,240000.0,2300.0,Petrol,Manual,2850.0
BMW,5 Series,2004,Sedan,325000.0,300.0,Diesel,Manual,3400.0
Mercedes,E Class,2010,Sedan,210000.0,2200.0,Diesel,Automatic,11400.0
Mercedes,CLS Class,2006,Coupe,300000.0,3200.0,Diesel,Automatic,11800.0
KIA,Rio,2005,Universal,23.0,1300.0,Petrol,Manual,1550.0
BMW,7 Series,1998,Sedan,285000.0,3500.0,Petrol,Manual,3990.0
Volkswagen,Golf,2007,Universal,238371.0,1400.0,Petrol,Automatic,5000.0
Volkswagen,Golf Plus,2010,Hatchback,150000.0,1200.0,Petrol,Manual,5500.0
Volvo,XC60,2012,Crossover,180000.0,2400.0,Diesel,Automatic,15900.0
Nissan,Qashqai,2011,Crossover,251000.0,1500.0,Diesel,Manual,8300.0
Hyundai,Matrix,2005,Universal,383000.0,1500.0,Diesel,Manual,3200.0
Audi,A3,2009,Hatchback,248000.0,2000.0,Diesel,Automatic,9299.0
Mercedes,E Class,2004,Universal,315000.0,1800.0,Metan/Propan,Manual,6900.0
GAZ,31029,1992,Sedan,68000.0,2445.0,Petrol,Manual,2222.0
Renault,Megane,2011,Universal,171000.0,1500.0,Diesel,Manual,5700.0
Tesla,Model S,2013,Hatchback,113000.0,367.0,Electric,Automatic,27000.0
Mercedes,E Class,2014,Sedan,275500.0,2200.0,Diesel,Automatic,18350.0
Lincoln,MKZ,2017,Sedan,157000.0,1998.0,Hybrid,Automatic,17800.0
Lexus,NX Series,2017,Crossover,76000.0,1998.0,Petrol,Automatic,27999.0
Dodge,Caliber,2008,Hatchback,113486.0,1998.0,Metan/Propan,Automatic,4495.0
Mercedes,A Class,2000,Hatchback,1.0,1400.0,Petrol,Manual,2100.0
Audi,100,1993,Sedan,235000.0,2000.0,Petrol,Manual,2950.0
Porsche,Cayenne,2012,Crossover,253444.0,3000.0,Diesel,Automatic,30222.0
Lexus,RX Series,2009,SUV,250000.0,3500.0,Hybrid,Automatic,17990.0
Volkswagen,Passat,2012,Sedan,179000.0,1400.0,Metan/Propan,Automatic,9800.0
BMW,X1,2015,Crossover,169777.0,2000.0,Diesel,Automatic,16888.0
Mercedes,GLC Coupe,2017,Crossover,71333.0,2500.0,Diesel,Automatic,43404.0
Opel,Vectra,1994,Sedan,340000.0,1800.0,Petrol,Manual,1500.0
BMW,7 Series,2007,Sedan,300000.0,3000.0,Diesel,Automatic,11500.0
Mercedes,E Class,2013,Universal,300.0,2200.0,Diesel,Automatic,11000.0
Volkswagen,Touran,2004,Minivan,280000.0,200.0,Diesel,Automatic,5300.0
Toyota,Carina,1996,Sedan,0.0,1800.0,Petrol,Manual,1800.0
Volkswagen,Passat,2010,Universal,228000.0,1400.0,Metan/Propan,Automatic,5700.0
Toyota,Auris,2010,Sedan,185000.0,1400.0,Diesel,Manual,6500.0
Nissan,Qashqai,2009,Hatchback,200415.0,1500.0,Diesel,Manual,6200.0
BMW,3 Series,2016,Minivan,136000.0,2000.0,Diesel,Automatic,13200.0
BMW,5 Series,2003,Sedan,250000.0,3000.0,Petrol,Automatic,7490.0
Mazda,929,1988,Sedan,345.0,3000.0,Metan/Propan,Manual,2100.0
Dacia,Logan,2014,Sedan,195000.0,1200.0,Metan/Propan,Manual,3999.0
Dacia,Duster,2015,SUV,170000.0,1500.0,Diesel,Manual,8800.0
Volkswagen,Golf,2010,Universal,191500.0,1400.0,Petrol,Manual,5700.0
Mercedes,Vito,1999,Minivan,1.0,2300.0,Diesel,Manual,4150.0
Volkswagen,Touran,2013,Minivan,1.0,1200.0,Petrol,Manual,7599.0
Volkswagen,Passat,1991,Sedan,292000.0,1800.0,Petrol,Manual,1150.0
BMW,3 Series,2004,Sedan,250000.0,2000.0,Diesel,Manual,4499.0
Nissan,Qashqai,2015,Crossover,158000.0,1500.0,Diesel,Manual,11750.0
Peugeot,3008,2018,Crossover,132000.0,1500.0,Diesel,Automatic,16500.0
Vaz,2103,1990,Sedan,9999999.0,1300.0,Petrol,Manual,3500.0
BMW,X5,2005,SUV,260500.0,3000.0,Petrol,Automatic,8999.0
Renault,Megane,2005,Universal,11111.0,1500.0,Diesel,Manual,3200.0
Nissan,Qashqai,2013,SUV,180000.0,1500.0,Diesel,Manual,8999.0
Ford,Transit Connect,2012,Minivan,151658.0,1800.0,Diesel,Manual,3899.0
Renault,Scenic,2015,Microvan,185480.0,1461.0,Diesel,Manual,7550.0
BMW,7 Series,2009,Sedan,215210.0,3000.0,Diesel,Automatic,16500.0
Volkswagen,Polo,2007,Hatchback,305988.0,1400.0,Diesel,Manual,3250.0
BMW,5 Series,2014,Sedan,231250.0,2000.0,Diesel,Automatic,18000.0
Vaz,2121niva,2004,Minivan,12000.0,1700.0,Petrol,Manual,1800.0
BMW,5 Series,1998,Sedan,11111.0,2500.0,Petrol,Manual,3200.0
Nissan,Pulsar,2014,Hatchback,87100.0,1200.0,Petrol,Manual,7950.0
Toyota,Avensis,2000,Sedan,420000.0,1600.0,Metan/Propan,Manual,2999.0
Seat,Alhambra,2002,Minivan,2.0,2000.0,Petrol,Manual,4299.0
Honda,CR-V,2002,Universal,275100.0,2000.0,Petrol,Manual,5900.0
BMW,5 Series,2015,Sedan,180236.0,2000.0,Diesel,Automatic,21500.0
Honda,CR-V,2010,Crossover,183000.0,2200.0,Diesel,Manual,12999.0
Nissan,Note,2011,Hatchback,195000.0,1500.0,Diesel,Manual,5250.0
Volkswagen,Passat,1993,Universal,311254.0,2000.0,Metan/Propan,Manual,29000.0
Toyota,Avensis,2000,Sedan,420000.0,1600.0,Metan/Propan,Manual,2999.0
Seat,Alhambra,2002,Minivan,2.0,2000.0,Petrol,Manual,4299.0
Honda,CR-V,2002,Universal,275100.0,2000.0,Petrol,Manual,5900.0
BMW,5 Series,2015,Sedan,180236.0,2000.0,Diesel,Automatic,21500.0
Honda,CR-V,2010,Crossover,183000.0,2200.0,Diesel,Manual,12999.0
Nissan,Note,2011,Hatchback,195000.0,1500.0,Diesel,Manual,5250.0
Volkswagen,Passat,1993,Universal,311254.0,2000.0,Metan/Propan,Manual,29000.0
Opel,Astra,2010,Hatchback,190000.0,1300.0,Diesel,Manual,6500.0
Skoda,Rapid,2016,Universal,116000.0,1598.0,Petrol,Automatic,10300.0
Volkswagen,Sharan,2006,Minivan,250000.0,2000.0,Diesel,Manual,6900.0
Lexus,Es Series,2009,Sedan,149.0,3490.0,Metan/Propan,Automatic,10499.0
Nissan,Qashqai,2015,Crossover,149000.0,1200.0,Petrol,Automatic,12500.0
Skoda,Superb,2016,Sedan,170000.0,2000.0,Diesel,Automatic,17490.0
Toyota,Land Cruiser,2001,SUV,250000.0,4700.0,Metan/Propan,Automatic,9990.0
Toyota,Prius,2008,Hatchback,1.0,1500.0,Hybrid,Automatic,6800.0
Toyota,Corolla,2006,Universal,256000.0,1400.0,Diesel,Manual,5490.0
Mazda,Tribute,2002,SUV,255000.0,2000.0,Petrol,Manual,3990.0
Chevrolet,Volt,2011,Hatchback,190000.0,1400.0,Plug-in Hybrid,Automatic,9150.0
Mercedes,GLE Coupe,2019,Crossover,24000.0,3000.0,Petrol,Automatic,51000.0
Volkswagen,Passat,2002,Universal,270000.0,1800.0,Petrol,Manual,2550.0
Volkswagen,Touareg,2010,SUV,235000.0,3000.0,Diesel,Automatic,20950.0
BMW,5 Series,2000,Sedan,254604.0,2500.0,Petrol,Manual,4500.0
Renault,Megane,2009,Universal,165000.0,1500.0,Diesel,Manual,4999.0
Toyota,C-HR,2017,Crossover,115000.0,1800.0,Hybrid,Automatic,17999.0
BMW,7 Series,1998,Sedan,350000.0,3500.0,Petrol,Manual,3990.0
Mercedes,E Class,2012,Sedan,150000.0,2500.0,Diesel,Automatic,14490.0
Audi,A7,2018,Hatchback,31091.0,3000.0,Petrol,Automatic,35500.0
Renault,Clio,2006,Hatchback,280000.0,1461.0,Diesel,Manual,4299.0
Subaru,Trezia,2011,Microvan,176.0,1400.0,Diesel,Manual,5800.0
Citroen,C3,2012,Hatchback,145000.0,1400.0,Diesel,Automatic,6899.0
Audi,A6,1997,Sedan,29800.0,2400.0,Metan/Propan,Manual,2750.0
Ford,Fusion,2013,Sedan,178000.0,2000.0,Hybrid,Automatic,9290.0
Toyota,Prius,2014,Sedan,140000.0,800.0,Plug-in Hybrid,Automatic,11200.0
Volkswagen,Vento,1993,Sedan,300000.0,1800.0,Petrol,Manual,1700.0
Fiat,Stilo,2003,Hatchback,1.0,1200.0,Petrol,Manual,2650.0
KIA,Ceed,2009,Hatchback,1.0,1600.0,Diesel,Manual,4700.0
Renault,Captur,2017,Crossover,129000.0,1500.0,Diesel,Automatic,10990.0
Lexus,CT Series,2012,Hatchback,193000.0,1800.0,Hybrid,Automatic,10950.0
Volvo,XC60,2010,SUV,202000.0,2400.0,Diesel,Automatic,14750.0
Dacia,Dokker,2013,Minivan,209000.0,1500.0,Diesel,Manual,5750.0
Hyundai,i30,2010,Hatchback,145000.0,1400.0,Petrol,Manual,4750.0
Lexus,CT Series,2012,Hatchback,194000.0,1800.0,Hybrid,Automatic,9999.0
Volvo,XC90,2008,SUV,249000.0,2400.0,Diesel,Manual,11500.0
Hyundai,Getz,2008,Hatchback,142000.0,1100.0,Petrol,Manual,3499.0
Mercedes,A Class,2005,Hatchback,260000.0,1500.0,Metan/Propan,Automatic,4750.0
Mercedes,C Class,2002,Coupe,240000.0,2300.0,Petrol,Manual,3499.0
Jaguar,Xf,2012,Sedan,120000.0,2200.0,Diesel,Automatic,15999.0
Mercedes,E Class,2010,Sedan,182000.0,1800.0,Petrol,Automatic,11750.0
Skoda,Octavia,2005,Universal,300000.0,2000.0,Petrol,Manual,4999.0
Opel,Astra,2008,Universal,310000.0,1300.0,Diesel,Manual,4850.0
Skoda,Superb,2014,Sedan,186000.0,1600.0,Diesel,Automatic,12300.0
Volkswagen,Amarok,2011,Pickup,150000.0,2000.0,Diesel,Manual,12800.0
Mercedes,Vito,2000,Minivan,258000.0,2200.0,Diesel,Automatic,2999.0
Mercedes,E Class,2000,Sedan,999.0,2000.0,Petrol,Automatic,3199.0
Toyota,Auris,2010,Hatchback,1.0,1400.0,Hybrid,Automatic,8990.0
